,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
RPL38,3.48861764333382e-59,4.70530436092541,0.949,0.881,7.30516534514102e-55,4,RPL38
SNHG8,1.75509957450207e-58,1.2448645260175,0.563,0.349,3.67517850900733e-54,4,SNHG8
PRMT21,3.52823346229822e-50,0.963415563759854,0.64,0.434,7.38812087005247e-46,4,PRMT2
LEPROTL12,2.68497763997321e-48,0.77400083089815,0.694,0.501,5.62234317810391e-44,4,LEPROTL1
TGFBR2,4.88701330005394e-48,0.889068077813777,0.408,0.225,1.0233405850313e-43,4,TGFBR2
CD55,1.37422166731697e-47,0.564966072866307,0.31,0.147,2.87762017136174e-43,4,CD55
EIF3E,3.97884821779789e-46,2.38650859046529,0.716,0.538,8.33170816806877e-42,4,EIF3E
FOXP1,1.06107489783931e-44,5.11554800061169,0.615,0.417,2.22189083607552e-40,4,FOXP1
TCF71,1.06441681295501e-43,0.950830034103276,0.576,0.39,2.22888880632779e-39,4,TCF7
UQCRB,1.85249201460491e-41,2.87084367768831,0.798,0.665,3.87911827858269e-37,4,UQCRB
GYPC1,3.93745822171798e-40,0.284528013858261,0.641,0.463,8.24503751627746e-36,4,GYPC
NDFIP1,6.14724855917589e-40,0.829876796407694,0.463,0.283,1.28723384829143e-35,4,NDFIP1
SNHG321,1.13485512120702e-39,0.946813551381927,0.543,0.365,2.37638662380751e-35,4,SNHG32
NAP1L11,8.34028572613374e-39,0.405125499218461,0.723,0.57,1.74645583105241e-34,4,NAP1L1
ATM1,9.50078493988556e-38,0.386526878846611,0.584,0.412,1.98946436641204e-33,4,ATM
C12orf571,7.97745160519192e-37,1.4041039683352,0.743,0.59,1.67047836612719e-32,4,C12orf57
PRKCA,1.65399055404941e-35,0.347051854540728,0.259,0.126,3.46345622017946e-31,4,PRKCA
PIK3IP11,1.3480855718245e-33,0.641274897070297,0.541,0.38,2.8228911874005e-29,4,PIK3IP1
ALKBH71,1.20094987853885e-32,0.662627900273775,0.448,0.295,2.51478904566036e-28,4,ALKBH7
GABPB1-AS1,3.93181124155572e-31,0.612302574069882,0.318,0.179,8.23321273981767e-27,4,GABPB1-AS1
FBL,9.81523529606569e-30,0.415445964593171,0.435,0.283,2.05531027099616e-25,4,FBL
MAML21,9.52374848808743e-29,0.485959213850266,0.303,0.17,1.99427293340551e-24,4,MAML2
EIF3H1,1.39569666329476e-28,0.499102521648105,0.647,0.509,2.92258881293923e-24,4,EIF3H
UXT1,1.48871116294646e-28,0.366714745246053,0.647,0.511,3.11736117520989e-24,4,UXT
SF11,6.46595444002093e-27,0.636429325816034,0.761,0.633,1.35397085974038e-22,4,SF1
ANTKMT,6.87967115763603e-27,0.340324488454053,0.26,0.142,1.44060314040899e-22,4,ANTKMT
SNHG51,1.40165607538995e-26,0.564069274476612,0.529,0.388,2.93506782186656e-22,4,SNHG5
SATB11,1.54592014123837e-26,0.668589479498219,0.321,0.19,3.23715677575315e-22,4,SATB1
ZFAS11,3.72070714588794e-26,0.865357256001012,0.763,0.643,7.79116076348935e-22,4,ZFAS1
MGAT4A,4.057500395045e-26,0.87440183754645,0.496,0.351,8.49640582722423e-22,4,MGAT4A
RSL1D1,1.18093607848629e-25,0.684448501266235,0.458,0.314,2.47288014835028e-21,4,RSL1D1
CAMK41,1.36911680458317e-25,0.568954352835448,0.314,0.187,2.86693058879716e-21,4,CAMK4
ST131,1.58568239443274e-24,0.563903735104206,0.451,0.312,3.32041893394216e-20,4,ST13
TXK,3.42964257372854e-24,0.271135542047375,0.28,0.16,7.18167154938757e-20,4,TXK
FAM102A,4.33693847367709e-23,0.321140512464882,0.26,0.148,9.08154916387983e-19,4,FAM102A
FKBP5,4.35883389639843e-23,0.784734897763275,0.314,0.196,9.12739817905832e-19,4,FKBP5
PRDX6,1.29000308521303e-22,0.545351343065276,0.378,0.253,2.70126646043609e-18,4,PRDX6
SELENOH,2.34145471177492e-22,0.494534521820769,0.492,0.355,4.90300616645669e-18,4,SELENOH
FAM153CP1,1.21218660010587e-21,0.348200233605409,0.383,0.257,2.53831874062169e-17,4,FAM153CP
TOB11,3.66526069939905e-21,0.259464960882091,0.311,0.194,7.67505590454161e-17,4,TOB1
LBH,1.28322278944649e-20,2.68035933312173,0.518,0.393,2.68706852110095e-16,4,LBH
EIF2S3,6.38338432255566e-20,0.458242234608688,0.401,0.277,1.33668067714316e-15,4,EIF2S3
NBEAL1,1.20687570264e-19,0.522709617454876,0.475,0.355,2.52719772132815e-15,4,NBEAL1
HSPB1,7.49659075965095e-19,0.292319292615405,0.284,0.179,1.56978610507091e-14,4,HSPB1
EIF3K1,1.80882016119251e-17,0.432917881567001,0.821,0.732,3.78766941753712e-13,4,EIF3K
ATP5PO,2.27353744095289e-17,0.479526289195788,0.555,0.435,4.76078740135536e-13,4,ATP5PO
SNRPD21,6.01207723435389e-16,0.341873637509266,0.713,0.611,1.25892897287371e-11,4,SNRPD2
GGNBP2,6.51661294965779e-16,0.389658190037059,0.35,0.244,1.36457875165834e-11,4,GGNBP2
CHCHD10,1.47463346488283e-15,0.38629213926438,0.31,0.212,3.08788247546465e-11,4,CHCHD10
STX161,3.33468482797636e-15,0.420412542758875,0.36,0.257,6.9828300297825e-11,4,STX16
